LATITUDE,LONGITUDE,ELEVATION,TMAX
43.59,-122.06,1554.5,40.5
39.0444,-84.6724,269.1,37.7
40.5905,-111.6369,2660.9,31.1
37.77972,-89.24972,123.7,40.4
47.8663,-93.0266,391.7,12.3
43.216,-77.9529,151.8,31.3
40.1433,-91.5158,149.4,32.2
44.79,-107.53,2401.8,32.3
31.8075,-94.1642,99.1,58
45.0907,-91.4864,301.8,20.3
40.8111,-110.0747,3694.2,19.9
46.54861,-90.91889,251.8,18.1
31.7413,-99.9763,534.9,58.5
30.3208,-97.7604,204.2,61.5
46.1,-113.13,2514.6,31.1
29.2667,-103.3,1645.9,59.4
41.0375,-81.46417,318.2,35.6
47.35,-120.68,1292.4,37.2
32.4105,-99.6822,545.6,56.6
43.0361,-122.6553,998.2,50.4
38.9266,-97.2129,361.8,41.1
35.6197,-83.2069,1036.3,46
30.5372,-91.1469,19.5,61.8
34.165,-84.73,297.2,51.9
29.333,-89.4075,0.9,60.1
48.075,-111.2603,1013.5,36
30.2247,-97.7327,173.7,56.2
28.389,-96.8388,7,62.6
48.8216,-100.4527,493.5,11.5
43.23,-121.81,1478.3,41.9
34.6008,-96.3131,216.4,49.4
44.38,-109.79,2980.9,27.6
45.00471,-84.14043,267.9,22
43.5611,-120.2486,1389.9,41.5
40.5227,-78.3694,390.1,33.7
44.2844,-122.8494,701,50.7
39.0118,-114.209,2016.9,37
39.6,-106.51,2590.8,30.5
32.2033,-83.9319,152.4,61
34.7582,-84.7642,216.4,53.2
43.6064,-93.3019,374.9,20.8
43.15611,-90.6775,204.8,25
39.88,-107.6,2865.1,34
34.385,-94.898,250.5,49.8
41.0163,-93.2791,294.1,30.7
41.2522,-100.075,887.9,35.4
37.67028,-95.48417,300.2,42.4
45.89,-110.94,2231.1,34.4
39.6552,-105.7088,3054.1,31.1
41.7372,-87.7775,189,28.8
44.3155,-69.7972,107,27.3
41.77,-88.48139,216.4,27.4
36.7878,-118.6561,1438.7,53.1
30.7406,-98.2354,392.6,59
37.9975,-78.4656,358.7,42
48.79389,-122.53722,45.4,49.1
40.9181,-81.4435,369.7,34.4
44.8197,-120.7533,923.5,41.9
45.27,-110.25,2033,36.3
41.92,-119.495,1749.6,39.2
37.4681,-120.1106,365.8,58.1
34.21667,-119.08333,23.5,67.7
44.2035,-72.5623,343.2,22.9
43.4447,-88.8477,256,22.4
44.57611,-71.17861,353,24.2
41.43333,-99.63333,771.1,36.6
42.84505,-77.28071,219.5,31
37.1278,-80.4033,640.1,40.9
33.5972,-85.0805,303.3,54.1
32.7214,-116.4631,1049.4,59.8
45.6481,-106.5008,1322.8,38.3
43.5136,-87.8547,210.9,24.3
39.8668,-93.147,253.9,33.3
37.0908,-81.33639,935.1,39
48.9797,-117.6747,1325.9,32.3
35.9307,-91.055,78.6,44.6
43.6309,-91.5027,355.4,21.9
42.41667,-87.86667,221.6,27.3
46.7825,-100.7572,503.2,22
41.15778,-104.80694,1863.2,42.3
41.68,-111.42,2423.2,30
32.4177,-110.9302,825.1,63.9
41.58333,-81.18333,344.4,31.6
35.4186,-119.0508,143.3,62.5
41.1977,-90.7447,222.5,29
42.16,-114.19,2286,32.3
42.4372,-108.9408,2475,23.6
44.88194,-97.73417,552.9,19.3
42.2796,-72.3482,167.6,33.7
45.71145,-99.12958,596.5,18.6
39.09,-106.54,3230.9,32.3
33.6402,-96.1661,180.4,51.1
34.1369,-117.7069,501.4,63.4
35.26,-112.06,2164.1,45.2
37.5531,-121.8439,374.9,57.5
39.0636,-94.8959,253,38.8
46.2733,-117.495,1371.6,41.3
35.1792,-120.3919,319.4,65
38.4167,-76,426.7,44.1
46.0405,-99.3741,613.9,17.5
34.6891,-86.8819,183.8,50.4
35.1311,-76.816,1.5,56.6
29.7986,-98.7353,440.4,60.9
39.3737,-90.9058,140.2,35.4
40.2258,-77.1894,131.1,37.4
45.8069,-108.5422,1091.5,37.5
